"Name","Ro17_Plot.Area.d040","Ro17_Plot.Area.d054","Ro17_Plot.Area.d061","Ro17_Plot.Area.d067","Ro17_Plot.Area.d074","Ro17_Plot.Area.d080","Ro17_Plot.Area.d089","Ro17_Plot.Area.d095","Ro17_Plot.Height.d024","Ro17_Plot.Height.d032","Ro17_Plot.Height.d040","Ro17_Plot.Height.d054","Ro17_Plot.Height.d061","Ro17_Plot.Height.d067","Ro17_Plot.Height.d074","Ro17_Plot.Height.d080","Ro17_Plot.Height.d089","Ro17_Plot.Height.d095","Ro17_Plot.Volume.d040","Ro17_Plot.Volume.d054","Ro17_Plot.Volume.d061","Ro17_Plot.Volume.d067","Ro17_Plot.Volume.d074","Ro17_Plot.Volume.d080","Ro17_Plot.Volume.d089","Ro17_Plot.Volume.d095"
"X3156.11_AGL",0.326922903107688,1.1484291056448,1.19526756128704,1.60389699480784,1.48369297093938,1.61287322509953,1.60794911357872,1.60794911357872,0.0473682122925917,0.0778193548321724,0.131032951176167,0.230024655659993,0.270498265822728,0.315707832574844,0.308153400818507,0.325462991992633,0.324336551427841,0.324336551427841,0.0430547726792165,0.262722624091338,0.324295902501552,0.508100199758456,0.45645015005644,0.529561666711381,0.527897651022605,0.527897651022605
"CDC_Asterix_AGL",0.413582944348863,1.4843650827526,1.5535225223868,1.90743033803239,1.87658689078039,1.92201394530175,1.92201394530175,1.92201394530175,0.0330173230419556,0.0637789927423,0.122535365323226,0.193101262052854,0.281956334908803,0.329836974541346,0.310964653889338,0.326538604795933,0.326538604795933,0.326538604795933,0.0508735094717867,0.288376160927105,0.439357892450371,0.628805513081813,0.583451152267289,0.631582558066936,0.631582558066936,0.631582558066936
"CDC_Cherie_AGL",0.414830508231319,1.36340665619605,1.3262789361375,1.56675437823644,1.48220880978741,1.57756430542185,1.57756430542185,1.57756430542185,0.0462894750138124,0.0963147928317388,0.133391385277112,0.236794610818227,0.295377204815547,0.329458286364873,0.31217814485232,0.332530662417412,0.332530662417412,0.332530662417412,0.0559931564951579,0.322991341631498,0.393283346409233,0.516129553961788,0.465743676057693,0.54343769128936,0.54343769128936,0.54343769128936
"CDC_Glamis_AGL",0.32286470586199,1.35302849961864,1.32485514531497,1.52424453812117,1.45951767885101,1.53981312701319,1.53482938484858,1.53482938484858,0.0362701471894979,0.0953474566340446,0.137347211440404,0.208907604217529,0.229829609394073,0.261843010783195,0.2462171514829,0.257262511154016,0.259224580675364,0.259224580675364,0.0445353982057324,0.283570248268247,0.304301219071668,0.399234493146011,0.358445732572577,0.39852394181125,0.39736593482763,0.39736593482763
"CDC_Gold_AGL",0.0884274114463781,0.457259790868527,0.45748665733396,0.578575619809941,0.564153761772704,0.630284054656753,0.626605979724378,0.626605979724378,0.0366057138890028,0.0506594106554985,0.117553139726321,0.162221426765124,0.190352926651637,0.220975557963053,0.244969382882118,0.2514969064792,0.249875179678202,0.249875179678202,0.010543452117022,0.0753486854503684,0.088570332526886,0.12998051637078,0.140425857119475,0.175503719787557,0.174611466896679,0.174611466896679
"CDC_Greenstar_AGL",0.328930812494607,1.30337369978007,1.26469730735774,1.46983885725604,1.46088699311798,1.52107568719967,1.51568594824592,1.51568594824592,0.0462714433670044,0.0862608924508095,0.134719654917717,0.227821633219719,0.271399031082789,0.290849188963572,0.277744382619858,0.293656843205293,0.292656644582748,0.292656644582748,0.0444940966383839,0.297185799168258,0.343031319967227,0.427510700740684,0.405819357229161,0.444715206469517,0.443097963626293,0.443097963626293
"CDC_Imax_AGL",0.294319314589496,1.0936331447003,1.00672491113091,1.2928710915099,1.12393900735082,1.36002176843324,1.35505169448051,1.35505169448051,0.0384260428448518,0.0904753307501475,0.122903190553188,0.224110717574755,0.222573881347974,0.249309296409289,0.233812431494395,0.242731024324894,0.246816203445196,0.246816203445196,0.0364994238999037,0.249998422592663,0.22470655114709,0.324692728302467,0.264547551912295,0.333582574485746,0.332449387107429,0.332449387107429
"CDC_Impower_AGL",0.422046334873123,1.39701137858953,1.35074971809484,1.67164524635209,1.50476963853743,1.65492879388857,1.65492879388857,1.65492879388857,0.0395498443394899,0.0969465523958206,0.141407658656438,0.266746699810028,0.319758196671804,0.330570161342621,0.314654171466827,0.334724395573139,0.334724395573139,0.334724395573139,0.0594148105260459,0.375784130216972,0.43458896080852,0.551960898629208,0.472938579723346,0.557341101321737,0.557341101321737,0.557341101321737
"CDC_KR.1_AGL",0.3552560037625,1.57734923990286,1.4378890482876,1.6708282789095,1.63977787253218,1.76162560274121,1.755739142969,1.755739142969,0.0339750647544861,0.0809407581885656,0.144155686100324,0.237572679917018,0.294858475526174,0.351940294106801,0.337625106175741,0.36087937494119,0.359691356420517,0.359691356420517,0.0513309920415512,0.37470048939986,0.424765043529355,0.59051537076202,0.553131496275032,0.632809751115598,0.630711784146425,0.630711784146425
"CDC_LeMay_AGL",0.299730216294839,1.22493309143027,1.24568759205445,1.44259841448943,1.38019997603184,1.50644940952922,1.50188043436612,1.50188043436612,0.0442201110223929,0.0871264599263668,0.11933987090985,0.203245307008425,0.2668729921182,0.293721427520116,0.281869560480118,0.286055671175321,0.294311363697052,0.294311363697052,0.0362738115732664,0.249185226266136,0.331607719438725,0.42613712003491,0.388710112283905,0.431725914827978,0.430540156582126,0.430540156582126
